"","CRUISE6","STATION","STRATUM","TOW","AVGDEPTH","BEGLAT","BEGLON","ENDLAT","ENDLON","SPECIES","ACTION_NAME","VALUE","ORGANISM_ID"
"1",202002,"0192","01020","005",63,4010.5,7231.3,4010.28,7230.01,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",62174
"2",202002,"0192","01020","005",63,4010.5,7231.3,4010.28,7230.01,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",62173
"3",202002,"0192","01020","005",63,4010.5,7231.3,4010.28,7230.01,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",62171
"4",202002,"0192","01020","005",63,4010.5,7231.3,4010.28,7230.01,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",62169
"5",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",51319
"6",202002,"0149","01040","001",207,3913.82,7228.12,3914.31,7226.99,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",51953
"7",202002,"0174","01010","001",28,4011.68,7349.83,4010.78,7349.24,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",57972
"8",202002,"0186","01010","003",31,4024.63,7322.69,4024.78,7321.39,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",60523
"9",202002,"0186","01010","003",31,4024.63,7322.69,4024.78,7321.39,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",60522
"10",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",51338
"11",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",51334
"12",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",51324
"13",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",51322
"14",202002,"0186","01010","003",31,4024.63,7322.69,4024.78,7321.39,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",60517
"15",202002,"0186","01010","003",31,4024.63,7322.69,4024.78,7321.39,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",60519
"16",202002,"0186","01010","003",31,4024.63,7322.69,4024.78,7321.39,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",60521
"17",202002,"0174","01010","001",28,4011.68,7349.83,4010.78,7349.24,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57984
"18",202002,"0174","01010","001",28,4011.68,7349.83,4010.78,7349.24,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57990
"19",202002,"0174","01010","001",28,4011.68,7349.83,4010.78,7349.24,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57980
"20",202002,"0174","01010","001",28,4011.68,7349.83,4010.78,7349.24,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",58011
"21",202002,"0174","01010","001",28,4011.68,7349.83,4010.78,7349.24,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57995
"22",202002,"0191","01020","001",57,4005.92,7235.75,4006.83,7235.23,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",61395
"23",202002,"0191","01020","001",57,4005.92,7235.75,4006.83,7235.23,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",61393
"24",202002,"0191","01020","001",57,4005.92,7235.75,4006.83,7235.23,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",61391
"25",202002,"0191","01020","001",57,4005.92,7235.75,4006.83,7235.23,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",61371
"26",202002,"0191","01020","001",57,4005.92,7235.75,4006.83,7235.23,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",61388
"27",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",51134
"28",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",51131
"29",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",51124
"30",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",51123
"31",202002,"0148","01030","003",125,3917.17,7238.87,3917.49,7240.03,"Peprilus triacanthus (butterfish)","Llopiz Request - SNE","Freeze for Llopiz at -80",51115
"32",202002,"0189","01010","002",54,4006.29,7246.89,4007.05,7246.05,"Scomber scombrus (Atlantic mackerel)","Llopiz Request - SNE","Freeze for Llopiz at -80",61046
"33",202002,"0189","01010","002",54,4006.29,7246.89,4007.05,7246.05,"Scomber scombrus (Atlantic mackerel)","Llopiz Request - SNE","Freeze for Llopiz at -80",61057
