Cruise,Station,Species,Count,Box_no,Dissected,Remaining Fish,Bongo,Notes,,
202002,148,A_pse,4,1,,,N,,,
202002,148,P_tri,5,1,,,N,there are many frozen fish in T57 for 202002,totals,
202002,149,A_pse,1,1,,,N,,202002,35
202002,174,A_pse,1,1,,,Y,,202104,218
202002,174,C_har,5,1,,,Y,,202202,428
202002,186,A_pse,5,1,,,N,,202204,358
202002,189,S_sco,5,1,,,Y,,202302,174
202002,191,P_tri,5,1,,,N,1 is green,202304,342
202002,192,A_aes,4,1,,,Y,,202402,514
202104,134,P_tri,4,3,,,N,,202404,444
202104,143,P_tri,3,3,,,Y,medium,,
202104,144,P_tri,3,3,,,N,2 discarded,,
202104,147,P_tri,3,3,,,Y,medium; 2 discarded,,
202104,147,P_tri,3,3,,,Y,2 discarded,,
202104,148,P_tri,3,3,,,N,,,
202104,150,P_tri,1,3,,,Y,,,
202104,151,P_tri,4,3,,,N,small/juvenile,,
202104,152,P_tri,3,3,,,Y,2 discarded,,
202104,153,P_tri,3,3,,,Y,2 discarded,,
202104,154,P_tri,3,3,,,N,2 discarded,,
202104,160,P_tri,3,3,,,Y,2 discarded,,
202104,161,P_tri,3,3,,,Y,2 discarded,,
202104,162,P_tri,3,3,,,N,2 discarded,,
202104,163,P_tri,3,3,,,N,,,
202104,163,P_tri,0,3,,,N,duplicated collection; 3 discarded,,
202104,164,P_tri,3,3,,,N,2 discarded,,
202104,165,P_tri,1,3,,,N,,,
202104,167,P_tri,3,3,,,N,2 discarded,,
202104,168,P_tri,2,3,,,Y,,,
202104,168,P_tri,3,3,,,Y,medium,,
202104,169,P_tri,3,3,,,N,2 discarded,,
202104,170,P_tri,3,3,,,N,2 discarded,,
202104,175,P_tri,3,3,,,N,,,
202104,176,P_tri,3,1,,,N,1 discarded,,
202104,177,P_tri,3,1,,,Y,2 discarded,,
202104,178,P_tri,3,1,,,N,2 discarded,,
202104,179,P_tri,2,1,,,Y,,,
202104,181,P_tri,3,1,,,N,1 discarded,,
202104,181,P_tri,1,1,,,N,,,
202104,182,P_tri,1,1,,,N,,,
202104,183,P_tri,3,1,,,N,2 discarded,,
202104,185,P_tri,3,1,,,Y,2 discarded,,
202104,186,P_tri,3,1,,,N,2 discarded,,
202104,187,P_tri,3,1,,,N,2 discarded,,
202104,188,P_tri,3,1,,,N,2 discarded,,
202104,188,P_tri,3,1,,,N,2 discarded,,
202104,189,P_tri,3,1,,,N,2 discarded; small/juvenile,,
202104,190,P_tri,1,1,,,N,,,
202104,190,P_tri,3,1,,,N,2 discarded; small/juvenile,,
202104,191,P_tri,3,1,,,N,2 discarded,,
202104,192,P_tri,1,1,,,Y,small/juvenile,,
202104,193,P_tri,3,1,,,Y,2 discarded; small/juvenile,,
202104,193,S_sco,2,2,,,Y,,,
202104,194,P_tri,3,1,,,Y,,,
202104,194,S_sco,1,2,,,Y,,,
202104,199,P_tri,3,1,,,Y,2 discarded,,
202104,204,P_tri,4,1,,,N,1 small/juvenile,,
202104,204,P_tri,1,1,,,N,,,
202104,204,P_tri,3,1,,,N,2 discarded,,
202104,208,P_tri,3,1,,,Y,,,
202104,209,P_tri,3,1,,,Y,small/juvenile,,
202104,210,P_tri,3,1,,,Y,2 discarded; small/juvenile,,
202104,216,S_sco,2,2,,,N,,,
202104,223,S_sco,3,2,,,N,,,
202104,252,C_har,2,2,,,N,,,
202104,252,P_tri,3,1,,,N,small/juvenile,,
202104,258,P_tri,3,1,,,N,small/juvenile,,
202104,258,P_tri,3,1,,,N,,,
202104,259,S_sco,1,2,,,Y,potential duplicate data entry?,,
202104,269,P_tri,3,3,,,Y,,,
202104,270,P_tri,3,3,,,N,small/juvenile,,
202104,270,P_tri,3,3,,,N,small/juvenile,,
202104,274,P_tri,3,2,,,Y,small/juvenile,,
202104,274,P_tri,1,3,,,Y,,,
202104,275,A_dub,1,2,,,N,,,
202104,275,P_tri,3,3,,,N,,,
202104,287,A_dub,1,2,,,Y,,,
202104,289,A_dub,1,2,,,Y,,,
202104,289,S_sco,3,2,,,Y,,,
202104,294,C_har,3,2,,,N,,,
202104,295,C_har,3,2,,,Y,,,
202104,295,S_sco,3,2,,,Y,,,
202104,299,C_har,1,2,,,N,,,
202104,300,S_sco,3,2,,,N,,,
202104,302,C_har,3,2,,,N,,,
202104,304,C_har,3,2,,,N,,,
202104,407,A_pse,1,2,,,N,,,
202104,407,C_har,2,2,,,N,,,
202104,407,S_sco,3,2,,,N,,,
202104,409,A_pse,2,2,,,N,,,
202104,409,C_har,2,2,,,N,,,
202104,409,S_sco,3,2,,,N,,,
202104,410,A_pse,3,2,,,N,2 discarded,,
202104,410,C_har,3,2,,,N,1 discarded,,
202104,410,S_sco,1,2,,,N,,,
202202,114,P_tri,5,5,,,N,,,
202202,115,P_tri,4,5,,,N,,,
202202,115,P_tri,5,5,,,N,,,
202202,119,P_tri,5,5,,,Y,,,
202202,120,P_tri,5,5,,,N,,,
