"CRUISE6","STATION","STRATUM","TOW","AVGDEPTH","BEGLAT","BEGLON","ENDLAT","ENDLON","SPECIES","ACTION_NAME","VALUE","ORGANISM_ID"
"202202","0160","01060","004",62,4039.46,7108.24,4039.48,7109.53,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",51146
"202202","0204","01230","001",67,4140.02,6942.11,4140.68,6943.08,"Alosa aestivalis (blueback herring)","Llopiz Request - GB","Freeze for Llopiz at -80",74119
"202202","0172","01050","002",48,4101.61,7128.9,4100.73,7129.6,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57150
"202202","0172","01050","002",48,4101.61,7128.9,4100.73,7129.6,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57151
"202202","0172","01050","002",48,4101.61,7128.9,4100.73,7129.6,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57154
"202202","0172","01050","002",48,4101.61,7128.9,4100.73,7129.6,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57157
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",56190
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",56192
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",56195
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",56196
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",56197
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",84997
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85004
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85007
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85010
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85011
"202202","0204","01230","001",67,4140.02,6942.11,4140.68,6943.08,"Alosa aestivalis (blueback herring)","Llopiz Request - GB","Freeze for Llopiz at -80",74091
"202202","0204","01230","001",67,4140.02,6942.11,4140.68,6943.08,"Alosa aestivalis (blueback herring)","Llopiz Request - GB","Freeze for Llopiz at -80",74109
"202202","0172","01050","002",48,4101.61,7128.9,4100.73,7129.6,"Alosa aestivalis (blueback herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57148
"202202","0204","01230","001",67,4140.02,6942.11,4140.68,6943.08,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",74267
"202202","0204","01230","001",67,4140.02,6942.11,4140.68,6943.08,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",74271
"202202","0324","01230","004",100,4112.16,6853.67,4113.04,6854.21,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",128092
"202202","0324","01230","004",100,4112.16,6853.67,4113.04,6854.21,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",128097
"202202","0324","01230","004",100,4112.16,6853.67,4113.04,6854.21,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",128098
"202202","0321","01230","005",59,4117.57,6830.5,4116.64,6830.9,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",126789
"202202","0317","01230","006",64,4122.03,6823.71,4121.1,6824.14,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",125032
"202202","0317","01230","006",64,4122.03,6823.71,4121.1,6824.14,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",125034
"202202","0317","01230","006",64,4122.03,6823.71,4121.1,6824.14,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",125036
"202202","0209","01250","004",33,4136.05,6943.31,4135.09,6942.86,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",75364
"202202","0209","01250","004",33,4136.05,6943.31,4135.09,6942.86,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",75365
"202202","0209","01250","004",33,4136.05,6943.31,4135.09,6942.86,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",75369
"202202","0150","01020","003",78,4007.56,7154.48,4006.61,7154.8,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",49040
"202202","0149","01020","008",88,3958.35,7159.88,3957.5,7159.24,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",48348
"202202","0173","01050","001",28,4108.51,7126.82,4107.83,7127.64,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",57635
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",56311
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",56313
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",56314
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",56315
"202202","0171","01050","003",56,4054.12,7135.69,4053.25,7136.24,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",56316
"202202","0152","01060","005",68,4025.95,7154.58,4025.08,7155.11,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",50344
"202202","0165","01070","001",118,4016,7053.97,4016.76,7054.8,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",52656
"202202","0240","01090","001",54,4037.67,6929.06,4036.67,6929.53,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",89789
"202202","0240","01090","001",54,4037.67,6929.06,4036.67,6929.53,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",89790
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",85531
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",85532
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",85533
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",85535
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",85537
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",84833
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",84844
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",84854
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",84862
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",84871
"202202","0210","01090","005",54,4054.3,6916.2,4055.12,6916.09,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",75763
"202202","0237","01100","004",63,4032.89,7000.24,4032.32,7001.32,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",87306
"202202","0239","01100","006",61,4036.31,6944.97,4035.52,6945.79,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",88721
"202202","0239","01100","006",61,4036.31,6944.97,4035.52,6945.79,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",88723
"202202","0239","01100","006",61,4036.31,6944.97,4035.52,6945.79,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",88725
"202202","0239","01100","006",61,4036.31,6944.97,4035.52,6945.79,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",88726
"202202","0239","01100","006",61,4036.31,6944.97,4035.52,6945.79,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",88728
"202202","0225","01110","004",120,4002.33,6941.25,4002.32,6939.97,"Alosa pseudoharengus (alewife)","Llopiz Request - SNE","Freeze for Llopiz at -80",83227
"202202","0318","01200","003",47,4127.2,6812.17,4127.19,6813.47,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",125433
"202202","0271","01210","001",65,4145.7,6811.72,4145.29,6812.95,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",102624
"202202","0271","01210","001",65,4145.7,6811.72,4145.29,6812.95,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",102630
"202202","0271","01210","001",65,4145.7,6811.72,4145.29,6812.95,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",102633
"202202","0310","01220","001",203,4202.71,6802.41,4202.81,6801.1,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",120405
"202202","0310","01220","001",203,4202.71,6802.41,4202.81,6801.1,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",120406
"202202","0310","01220","001",203,4202.71,6802.41,4202.81,6801.1,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",120407
"202202","0286","01220","003",201,4211.45,6649.45,4211.15,6648.27,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",108154
"202202","0286","01220","003",201,4211.45,6649.45,4211.15,6648.27,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",108157
"202202","0286","01220","003",201,4211.45,6649.45,4211.15,6648.27,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",108158
"202202","0291","01220","004",171,4211,6709.63,4211.11,6708.34,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",110411
"202202","0291","01220","004",171,4211,6709.63,4211.11,6708.34,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",110416
"202202","0291","01220","004",171,4211,6709.63,4211.11,6708.34,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",110419
"202202","0204","01230","001",67,4140.02,6942.11,4140.68,6943.08,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",74264
"202202","0275","01190","009",41,4122.92,6737.57,4122.33,6738.57,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",103925
"202202","0320","01190","001",45,4105.87,6814.84,4106.7,6814.08,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",126225
"202202","0173","01050","001",28,4108.51,7126.82,4107.83,7127.64,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57532
"202202","0202","01250","001",41,4125.34,6925.23,4126.32,6925.44,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",73526
"202202","0173","01050","001",28,4108.51,7126.82,4107.83,7127.64,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57539
"202202","0173","01050","001",28,4108.51,7126.82,4107.83,7127.64,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57540
"202202","0173","01050","001",28,4108.51,7126.82,4107.83,7127.64,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",57544
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85363
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85372
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85376
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85377
"202202","0233","01090","003",54,4046.86,7031.18,4045.93,7031.63,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",85379
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",84654
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",84656
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",84657
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",84658
"202202","0232","01090","004",52,4054.57,7033.49,4053.59,7033.85,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",84664
"202202","0210","01090","005",54,4054.3,6916.2,4055.12,6916.09,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",75573
"202202","0210","01090","005",54,4054.3,6916.2,4055.12,6916.09,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",75577
"202202","0210","01090","005",54,4054.3,6916.2,4055.12,6916.09,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",75578
"202202","0210","01090","005",54,4054.3,6916.2,4055.12,6916.09,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",75579
"202202","0210","01090","005",54,4054.3,6916.2,4055.12,6916.09,"Clupea harengus (Atlantic herring)","Llopiz Request - SNE","Freeze for Llopiz at -80",75581
"202202","0256","01130","010",72,4101.16,6716.12,4100.91,6714.87,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",95736
"202202","0256","01130","010",72,4101.16,6716.12,4100.91,6714.87,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",95737
