"CRUISE6","STATION","STRATUM","TOW","AVGDEPTH","BEGLAT","BEGLON","ENDLAT","ENDLON","SPECIES","ACTION_NAME","VALUE","ORGANISM_ID"
"202302","0051","01220","001",180,4158.47,6754.83,4159.31,6755.45,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",18787
"202302","0051","01220","001",180,4158.47,6754.83,4159.31,6755.45,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",18791
"202302","0051","01220","001",180,4158.47,6754.83,4159.31,6755.45,"Alosa pseudoharengus (alewife)","Llopiz Request - GB","Freeze for Llopiz at -80",18789
"202302","0057","01200","006",52,4202.2,6720.01,4201.42,6719.33,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",21768
"202302","0057","01200","006",52,4202.2,6720.01,4201.42,6719.33,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",21769
"202302","0043","01210","003",78,4208.27,6653.21,4208.31,6654.53,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",15072
"202302","0058","01210","002",81,4207.86,6712.55,4207.8,6713.84,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",22190
"202302","0058","01210","002",81,4207.86,6712.55,4207.8,6713.84,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",22189
"202302","0058","01210","002",81,4207.86,6712.55,4207.8,6713.84,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",22192
"202302","0062","01160","005",63,4141.55,6702.55,4140.93,6703.55,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",23888
"202302","0045","01210","004",62,4205.26,6701.08,4205.2,6659.79,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",16136
"202302","0028","01160","007",88,4107.46,6639.21,4108.16,6638.29,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",7785
"202302","0031","01180","001",208,4106.74,6621.82,4105.98,6622.54,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",9325
"202302","0032","01170","001",116,4108.32,6624.71,4107.64,6625.67,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",9584
"202302","0032","01170","001",116,4108.32,6624.71,4107.64,6625.67,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",9581
"202302","0032","01170","001",116,4108.32,6624.71,4107.64,6625.67,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",9583
"202302","0027","01160","004",73,4105.5,6647.68,4106.2,6646.77,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",7483
"202302","0027","01160","004",73,4105.5,6647.68,4106.2,6646.77,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",7485
"202302","0033","01170","003",138,4112.37,6617.74,4111.62,6618.54,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",9867
"202302","0033","01170","003",138,4112.37,6617.74,4111.62,6618.54,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",9872
"202302","0033","01170","003",138,4112.37,6617.74,4111.62,6618.54,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",9876
"202302","0057","01200","006",52,4202.2,6720.01,4201.42,6719.33,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",21767
"202302","0055","01220","002",182,4208.2,6733.98,4208.77,6735.05,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",20979
"202302","0043","01210","003",78,4208.27,6653.21,4208.31,6654.53,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",15068
"202302","0043","01210","003",78,4208.27,6653.21,4208.31,6654.53,"Ammodytes dubius (northern sand lance)","Llopiz Request - GB","Freeze for Llopiz at -80",15070
"202302","0072","01250","002",65,4154.9,6951.02,4153.95,6950.73,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",27775
"202302","0072","01250","002",65,4154.9,6951.02,4153.95,6950.73,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",27774
"202302","0072","01250","002",65,4154.9,6951.02,4153.95,6950.73,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",27769
"202302","0070","01230","001",65,4120.04,6827.35,4119.85,6827.53,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",26910
"202302","0058","01210","002",81,4207.86,6712.55,4207.8,6713.84,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",22029
"202302","0059","01160","010",71,4201.02,6641.68,4201.95,6641.66,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",22677
"202302","0049","01230","005",78,4129.71,6826.33,4128.94,6827.23,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",17324
"202302","0059","01160","010",71,4201.02,6641.68,4201.95,6641.66,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",22679
"202302","0059","01160","010",71,4201.02,6641.68,4201.95,6641.66,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",22681
"202302","0047","01200","002",59,4141.21,6819.81,4140.61,6820.7,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",16695
"202302","0049","01230","005",78,4129.71,6826.33,4128.94,6827.23,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",17326
"202302","0070","01230","001",65,4120.04,6827.35,4119.85,6827.53,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",26918
"202302","0077","01230","006",84,4105.82,6854.57,4106.64,6853.83,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",32173
"202302","0073","01250","003",48,4136.61,6940.66,4135.95,6939.59,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",28310
"202302","0049","01230","005",78,4129.71,6826.33,4128.94,6827.23,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",17327
"202302","0073","01250","003",48,4136.61,6940.66,4135.95,6939.59,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",28317
"202302","0073","01250","003",48,4136.61,6940.66,4135.95,6939.59,"Clupea harengus (Atlantic herring)","Llopiz Request - GB","Freeze for Llopiz at -80",28319
