Cruise ,Station #,Species,Date of collection,Indiv. #,Standard length (mm),Fork length (mm),Total length (mm),Total weight (g),Sex,Liver weight (g),Gonad weight (g),Evisc. weight (g),Stomach weight (g),Stomach content weight (g),Musc. Tiss. Taken?,Comments,,,,
201802,64,A. pseudoharengus,3/24/2018,1,173,190,209,93.7,M,1.34,0.66,82.1,2.92,1.64,N,,,,,
201802,64,A. pseudoharengus,3/24/2018,2,102,110,122,17.1,U,0.16,NA,14.3,1.2,0.83,N,,,,,
201802,64,A. pseudoharengus,3/24/2018,3,94,104,117,14.9,U,0.15,NA,12.6,0.7,0.47,N,,,,,
201802,64,A. aestivalis,3/24/2018,1,93,101,110,10.9,U,0.09,NA,9.5,0.25,0.09,N,,,,,
201802,64,A. aestivalis,3/24/2018,2,84,94,104,8.6,U,0.15,NA,7.3,0.18,0.04,N,Gonads not present/could not be found,,,,
201802,64,A. aestivalis,3/29/2018,3,96,106,116,11.6,U,0.05,NA,10.3,0.22,0.07,N,Gonads not present/could not be found,,,,
201802,65,A. pseudoharengus,3/29/2018,1,183,201,224,124,M,1.29,10.91,100.7,5.84,4.04,N,,,,,
201802,65,A. pseudoharengus,3/29/2018,2,106,114,NA,20.2,M,0.12,0.11,18.2,0.74,0.25,N,"Most of caudal fin gone, total lentgh missing caudal fin, 11.7 cm. Liver protruding from wound in side upon defrosting. **Some organs had to be re-added to body weight following removal.",,,,
201802,65,A. pseudoharengus,3/29/2018,3*,92,101,114,12.9,U,0.11,NA,11.3,0.39,0.19,N,guts hanging from large gash in sides. Ends of caudal fin somewhat abraded,,,,
201802,65,A. aestivalis,3/29/2018,1*,81,87,94,6.4,U,0.09,NA,5.6,0.26,0.12,N,"Lobes of caudal fin severed. Large gash in belly/side, possible loss of blood vessels",,,,
201802,65,A. aestivalis,3/29/2018,2*,94,103,115,10.3,U,0.14,NA,9.1,0.24,0.06,N,"Lobes of caudal fin severed. Large gash in belly/side, possible loss of blood vessels",,,,
201802,68,A. pseudoharengus,3/29/2018,1*,100,108,121,16.2,U,0.3,NA,13.5,0.97,0.75,N,"Lobes of caudal fin severed. Forgot to take gut content weight, subtracted weight of empty stomach from full. Large gash in belly/side, possible loss of blood vessels",,,,
201802,68,A. pseudoharengus,3/29/2018,2,92,NA,103,12.1,U,0.23,NA,10.2,0.35,0.17,N,,,,,
201802,68,A. pseudoharengus,3/29/2018,3,89,99,108,11.9,U,0.14,NA,10.1,0.54,0.3,N,,,,,
201802,79,A. pseudoharengus,3/30/2018,1*,214,230,249,192.2,M,2.27,10.11,170.1,2.69,1.83,N,"Tips of caudal fin missing. Large gash in belly/side, possible loss of blood vessels",,,,
201802,130,C. harengus,4/3/2018,1,223,241,262,134,F,2.31,1.79,121.2,1.74,0.43,N,,,,,
201802,130,C. harengus,4/3/2018,2,203,219,242,110.9,F,1.29,0.29,101,1.57,0.4,N,,,,,
201802,130,C. harengus,4/3/2018,3,221,233,257,139.6,F,1.51,1.18,127.2,1.47,0.38,N,,,,,
201802,130,S. scombrus,4/3/2018,1,248,261,280,152.1,M,2,1.03,133,3.91,1.07,N,,,,,
201802,130,A. aestivalis,4/3/2018,1,203,217,241,130.6,M,2.65,1.38,116.8,2.66,0.18,N,,,,,
201802,130,A. aestivalis,4/3/2018,2,211,223,247,165.8,F,3.43,10.36,140.2,2.53,1,N,,,,,
201802,130,A. aestivalis,4/3/2018,3,201,213,238,134,M,2.35,4.37,116.1,2.75,1.23,N,Long external parasite several cm past dorsal fin,,,,
201802,131,A. aestivalis,4/3/2018,1,193,206,227,109.9,F,1.32,2.2,96,3.11,1.78,N,Caleb: 0.70 is extra value in a separate column with no title,,,,
201802,131,A. aestivalis,4/3/2018,2,194,207,232,105.9,M,1.58,0.05,93.8,2.2,0.97,N,"Caleb: 2.15 is extra value in a separate column with no title. Large gash in belly/side, possible loss of blood vessels. Unsure sex of fish",,,,
201802,131,A. aestivalis,4/3/2018,3,194,207,227,120.5,M,1.43,2.7,103.4,2.88,1.6,N,,,,,
201802,132,P. triacanthus,4/4/2018,1,132,146,164,65.4,M,0.72,0.47,59.8,1.32,0.56,N,,,,,
201802,132,P. triacanthus,4/4/2018,2,153,164,190,95.9,F,1.6,2.06,85.4,1.01,0.64,N,Initial value 1.67 g stomach re-weighed without extra tissue weight of contents added back to give value,,,,
201802,132,P. triacanthus,4/4/2018,3,136,149,175,69.8,F,0.9,1.14,62.5,1.02,0.45,N,,,,,
201802,133,P. triacanthus,4/4/2018,1,106,116,137,28.9,F,0.26,0.31,26.1,0.32,0.06,N,Both lobes of caudal fin severely abraded (end of lower lobe cut off),,,,
201802,133,P. triacanthus,4/4/2018,2,105,115,134,29.2,F,0.12,0.35,26.2,0.45,0.15,N,,,,,
201802,133,P. triacanthus,4/4/2018,3,91,99,113,19.4,M,0.12,0.21,17.4,0.24,0.08,N,,,,,
201802,134,P. triacanthus,4/4/2018,1,100,111,127,26,M,0.28,0.34,22.3,1.07,0.15,N,,,,,
201802,134,P. triacanthus,4/4/2018,2,95,105,122,21.9,F,0.23,0.22,19.4,0.48,0.3,N,,,,,
201802,134,P. triacanthus,4/4/2018,3,44,161,181,84.1,F,0.87,7.95,73.9,1.28,0.56,N,,,,,
201802,135,P. triacanthus,4/4/2018,1,97,109,126,21.8,M,0.02,0.07,19.8,0.46,0.23,N,,,,,
201802,135,P. triacanthus,4/4/2018,2,104,111,131,27.2,F,0.28,0.36,23.9,0.61,0.33,N,Ends of caudal fin pretty badly abraded,,,,
201802,135,P. triacanthus,4/4/2018,3,114,121,141,39.8,F,0.28,0.49,35.3,0.88,0.44,N,,,,,
201802,135,A. pseudoharengus,4/3/2018,1,231,249,275,217.3,F,4.03,10.23,190.8,3.17,1.89,N,,,,,
201802,135,A. pseudoharengus,4/3/2018,2,248,265,291,283.3,F,6.32,17.27,246.6,3.78,1.55,N,,,,,
