Cruise ,Station,Species,Date_collection,FID,Standard_length_mm,Fork_length_mm,Total_length_mm,Total_weight_g,Sex,Liver_weight_g,Gonad_weight_g,Evisc_weight_g,Stomach_weight_g,Stomach_content_weight_g,Musc_taken,Comments
201902,175,C_har,190401,1,238,256,277,159.46,F,1.737,1.094,143.86,2.962,0.757,N,NA
201902,175,C_har,190401,2,230,251,283,156.9,M,1.964,1.694,141.12,2.697,0.942,N,NA
201902,178,S_sco,190402,1,278,289,325,265.27,M,4.098,4.032,231.45,8.248,2.655,N,Parasites on/in stomach
201902,178,S_sco,190402,2,275,298,323,218.25,F,0.876,1.06,191.62,6.09,2.863,N,NA
201902,178,S_sco,190402,3,275,295,323,246.53,M,3.301,4.187,220.29,4.465,1.545,N,Parasites on/in stomach
201902,177,S_sco,190402,1,251,269,284,184.15,M,2.076,8.063,163.1,3.156,0.248,N,NA
201902,177,S_sco,190402,2,280,301,326,263.58,M,3.241,8.054,232.91,5.672,2.064,N,Parasites on/in stomach
201902,177,S_sco,190402,3,250,271,291,200.22,M,2.083,3.831,174.64,6.949,4.021,N,NA
201902,197,A_pse,190411,1,215,240,274,203.78,M,1.813,11.631,178.48,6.633,4.322,N,NA
201902,197,A_pse,190411,2,225,250,280,243.95,F,4.745,7.331,201.75,13.625,11.1,N,NA
201902,197,A_pse,190411,3,208,230,263,185.57,M,2.319,6.181,157.54,8.609,6.445,N,NA
201902,178,P_tri,190402,1,158,181,209,125.91,M,0.531,2.775,119.11,1.229,0.329,N,*
201902,178,P_tri,190402,2,157,176,210,124.37,F,1.375,4.47,112.65,1.837,0.579,N,NA
201902,175,A_pse,190401,1,210,NA,NA,129.75,M,2.292,1.291,118.59,2.685,0.74,N,Tail cut off
201902,176,S_sco,190402,1,275,290,320,231.45,F,2.513,3.453,210.89,4.214,1.238,N,NA
201902,176,S_sco,190402,2,272,290,318,230.63,M,2.074,16.893,196.86,3.609,1.018,N,Parasites on/in stomach
201902,176,S_sco,190402,3,280,296,323,278.8,M,3.253,6.096,244.16,6.179,2.414,N,Parasites on/in stomach
201902,109,C_har,190320,1,240,266,295,216.52,F,4.248,12.97,186.57,4.007,1.145,N,Partially rotten
201902,109,C_har,190320,3,235,255,285,188.05,F,2.264,1.431,167.68,3.96,0.862,N,Partially rotten
201902,204,A_pse,190412,1,195,217,243,129.82,F,2.072,0.2,116.58,4.172,2.01,N,NA
201902,204,A_pse,190412,2,230,257,290,222.8,F,3.802,11.046,197.75,3.144,1.241,N,NA
201902,95,A_pse,190319,3,225,244,272,194.27,F,2.39,12.068,170.24,2.642,0.662,N,NA
201902,109,S_sco,190320,1,233,250,261,142.04,M,1.603,0.269,124.87,5.33,3.157,N,NA
201902,109,S_sco,190320,2,231,245,259,137.61,M,2.319,0.889,12.13,3.407,1.653,N,NA
201902,109,S_sco,190320,3,239,252,265,152.04,M,2.407,0.994,132.07,5.051,2.688,N,NA
201902,112,A_pse,190326,1,99,107,121,16.18,M,0.222,0.06,14.11,0.417,0.12,N,NA
201902,112,A_pse,190326,2,91,102,112,13.57,M,0.546,0.328,11.48,0.864,0.538,N,NA
201902,112,A_pse,190326,3,87,96,150,10.82,M,0.438,0.342,9.24,0.819,0.602,N,NA
201902,112,A_aes,190326,1,82,90,96,7.88,U,0.07,NA,6.81,0.366,0.21,N,I for immature
201902,112,A_aes,190326,2,81,88,97,6.88,M,0.231,0.21,5.68,0.568,0.418,N,NA
201902,112,A_aes,190326,3,77,84,92,6.3,U,0.271,NA,5.36,0.388,0.279,N,I for immature
201902,122,S_sco,190328,1,171,182,193,52.06,U,0.676,NA,42.26,3.401,2.19,N,I for immature
201902,122,S_sco,190328,2,174,186,199,56.83,M,1.124,0.479,46.36,2.85,1.985,N,NA
201902,122,S_sco,190328,3,175,188,205,62.45,M,1.629,1.158,51.73,4,3.069,N,NA
201902,95,S_sco,190319,1,277,298,314,216.25,F,3.095,4.087,196.38,3.054,0.641,N,NA
201902,95,S_sco,190319,2,272,293,312,221.52,F,3.649,3.956,198.13,3.942,1.128,N,NA
201902,95,S_sco,190319,3,277,297,315,255.11,M,3.1899,8.271,228.84,2.762,0.494,N,NA
201902,105,S_sco,190320,1,264,283,307,204.04,M,3.986,2.99,181.91,5.179,0.799,N,NA
201902,105,S_sco,190320,2,279,300,316,235.3,F,2.947,2.768,208.8,4.553,1.109,N,NA
201902,105,S_sco,190320,3,280,299,321,247.64,M,2.341,1.476,224.38,2.748,1.382,N,NA
201902,111,S_sco,190320,1,227,243,254,129.89,M,1.739,0.791,109.02,6.212,4.11,N,NA
201902,111,S_sco,190320,2,229,241,259,126.24,F,1.999,1.1,109.94,3.963,2.111,N,NA
201902,111,S_sco,190320,3,222,236,254,127.29,F,2.687,1.787,110.25,5.188,3.644,N,NA
201902,204,A_pse,190412,3,200,221,252,151.56,F,2.717,1.603,134.52,3.961,1.961,N,NA
201902,202,A_pse,190412,1,230,260,294,282.43,F,5.212,24.518,238.46,6.707,4.311,N,NA
201902,202,A_pse,190412,2,215,238,268,231.44,F,4.373,30.698,185.54,4.013,2.196,N,NA
201902,202,A_pse,190412,3,220,241,274,223.81,F,2.623,10.886,190.63,8.155,6.018,N,NA
201902,198,C_har,190412,1,174,194,218,90.29,F,1.12,0.82,81.01,1.796,0.92,N,Partially rottten
201902,95,P_tri,190319,1,139,156,192,84.15,M,0.711,0.342,78,1.609,0.293,N,NA
201902,95,P_tri,190319,2,157,172,204,134.14,F,1.568,4.272,123,1.482,0.226,N,NA
201902,95,P_tri,190319,3,153,170,197,110.05,M,0.92,0.835,101.34,1.456,0.363,N,NA
201902,95,A_aes,190319,1,230,252,289,240.4,F,4.648,27.835,198.26,3.632,1.093,N,Subtracted empty from full gut.
201902,95,A_aes,190319,2,210,231,265,195.25,F,3.963,9.725,165.22,3.647,0.903,N,NA
201902,116,A_pse,190327,1,205,225,NA,162.37,M,1.757,13.179,144.5,2.116,0.342,N,Tail cut
201902,108,S_sco,190320,1,235,253,273,143.1,F,2.009,1.169,131.74,3.809,1.533,N,NA
